function,has_correct,has_wrong,total_candidates
abbreviate,False,True,34
accept,False,True,31
add,False,True,30
addInitializedType,False,True,32
addLineNumber,False,True,30
addNewTarget,False,True,31
addReverse,False,True,32
appendDetail,False,True,32
available,False,True,28
buildContent,False,True,43
buildContentRange,False,True,20
buildTimeRanges,False,True,31
checkIfPackedField,False,True,30
computeGlobalSeparatorList,False,True,32
computeLowerBounds,False,True,30
computeSuffixSum,False,True,39
computeUTF8Size,False,True,33
computeUpperBounds,False,True,31
convertToType,False,True,21
createStringSupplier,False,True,29
decide,False,True,31
decodeOctets,False,True,33
digitValue,False,True,29
edgeSetToTour,False,True,30
edgeToNext,False,True,23
exists,False,True,22
findAndSubst,False,True,28
format,False,True,59
hasNext,False,True,25
hashCode,False,True,33
id,False,True,31
identity,False,True,37
init,False,True,29
isAllZeros,False,True,25
isCompatible,False,True,38
isPartialContentResponse,False,True,32
javaCharset,False,True,28
lastWriteTimeStampInMilliseconds,False,True,22
lookup,False,True,29
match,False,True,36
moveAllListNodes,False,True,31
nextPrime,False,True,31
nonZeros,False,True,25
overrideName,False,True,28
parseEndOfLine,False,True,38
parseToken,False,True,36
peek,False,True,26
previousNode,False,True,22
provideNextVertex,False,True,26
put,False,True,24
putAbstractTypes,False,True,29
readString,False,True,26
readTag,False,True,40
readUtf,False,True,27
register,False,True,39
remove,False,True,23
removeAppender,False,True,33
removeFromTreeEdgeList,False,True,31
resolveArguments,False,True,37
resolveBound,False,True,35
rotateRight,False,True,27
selectOnOuterFace,False,True,24
send,False,True,36
sessionId,False,True,28
toChar,True,False,15
trimArrayElements,False,True,14
visitFrameStart,False,True,35
writeDelimitedTo,False,True,31
